Error,Corrected
அவன் பாடத்தினை மனப்பாடம் செய்யும்.,அவன் பாடத்தினை மனப்பாடம் செய்கிறான்.
நீங்கள் எவ்வாறு இதைச் செய்தீர்கள்?,நீங்கள் எப்படி இதைச் செய்தீர்கள்?
குழந்தைகள் சத்தமாக பேசுகிறாள்.,குழந்தைகள் சத்தமாக பேசுகின்றனர்.
இது அவன் திறமையா?,இது அவன் திறமையல்ல.
அவன் என்னிடம் உதவ வேண்டும்.,அவன் எனக்கு உதவ வேண்டும்.
நீங்கள் எங்கே சென்றாய்?,நீங்கள் எங்கே சென்றீர்கள்?
அவள் சிறந்த பாடகனாக இருக்கிறாள்.,அவள் சிறந்த பாடகியாக இருக்கிறாள்.
அவன் எனக்கு கண்ணாடியை கொடுத்தது.,அவன் எனக்கு கண்ணாடியை கொடுத்தான்.
இது எப்போது முடிந்தது?,இது எப்போது முடிந்தது?
நீங்கள் அந்தப் படத்தைப் பார்த்தீர்களா?,நீங்கள் அந்தப் படத்தைப் பார்த்தீர்களா?
அந்த மரம் மிகவும் நீளமாக இருக்கிறது.,அந்த மரம் மிகவும் உயரமாக இருக்கிறது.
இது உங்கள் வீட்டைச் சேர்ந்ததா?,இது உங்கள் வீட்டில் உள்ளதா?
நான் அவளைப் பார்க்கிறேன்.,நான் அவளைப் பார்த்தேன்.
மாணவர்கள் புத்தகத்தை வாங்கினார்கள்.,மாணவர்கள் புத்தகங்களை வாங்கினார்கள்.
அவன் அவளைப் பேசச் சொல்லினான்.,அவன் அவளைப் பேசச் சொன்னான்.
இந்த வீடு புதிதா இல்லை?,இந்த வீடு புதிதா?
இது எப்போது இங்கே வந்தது?,இது எப்போது இங்கே வந்திருக்கிறது?
அவர் எதற்காக காத்திருக்கிறார்?,அவர் எதற்காக காத்திருந்தார்?
நான் இந்தப் பாடத்தைப் பிடிக்கவில்லை.,எனக்கு இந்தப் பாடம் பிடிக்கவில்லை.
இவன் ஒரு நல்ல மாணவி.,இவன் ஒரு நல்ல மாணவன்.
குழந்தைகள் பறவைகளை பார்த்தார்.,குழந்தைகள் பறவைகளைப் பார்த்தனர்.
இந்த நகை மிகவும் அழகானது.,இந்த நகை மிகவும் அழகாக உள்ளது.
நீங்கள் அவனைப் பேசச் சொல்லவில்லையா?,நீங்கள் அவனைப் பேசச் சொல்லவில்லையா?
இங்கு யார் இருக்கிறாய்?,இங்கு யார் இருக்கிறார்கள்?
இது என்னுடைய வீடு இல்லை.,இது என்னுடைய வீடல்ல.
பசுக்கள் புல்லைத் தின்றன.,பசுக்கள் புல்லை உண்ணின.
அவன் என்னைச் சந்திக்கவில்லை.,அவன் என்னைச் சந்திக்கவில்லை.
இது மிகவும் அழகான காட்சி.,இது மிகவும் அழகான காட்சியாக இருந்தது.
அவள் என்னைப் பார்த்துவிட்டாள்.,அவள் என்னைப் பார்த்துவிட்டாள்.
இங்கே யார் பாடம் நடத்துகிறான்?,இங்கே யார் பாடம் நடத்துகிறார்கள்?
இது நீ எங்கே எடுத்தது?,இது நீ எங்கே எடுத்தாய்?
நான் உங்களுடன் வந்தேன்.,நான் உங்களுடன் வந்திருக்கிறேன்.
இது யார் சொன்னது?,இது யார் சொன்னது?
நீங்கள் எப்போது செல்ல விரும்புகிறீர்கள்?,நீங்கள் எப்போது செல்ல விரும்புகிறீர்கள்?
இவன் பாடத்தில் சிறந்து விளங்குகிறாள்.,இவன் பாடத்தில் சிறந்து விளங்குகிறான்.
அந்தப் பறவை விரைவாக பறந்தது.,அந்தப் பறவை மிக வேகமாக பறந்தது.
அவள் என்னிடம் உதவி கேட்டதா?,அவள் என்னிடம் உதவி கேட்டாளா?
இவை மிகவும் பழைய பொம்மைகள்.,இவை மிகவும் பழைய பொம்மைகளாக உள்ளன.
இவன் ஒரு சிறந்த மைந்தியாக இருக்கிறான்.,இவன் ஒரு சிறந்த மைந்தனாக இருக்கிறான்.
அவள் சிறந்த பாடகியாக இருந்தாள்.,அவள் சிறந்த பாடகியாக இருந்தாள்.
மாணவர்கள் எப்போது பாடம் படிக்கிறாள்?,மாணவர்கள் எப்போது பாடம் படிக்கின்றனர்?
நீங்கள் என்ன செய்ய வேண்டும்?,நீங்கள் என்ன செய்ய வேண்டும்?
அவன் தனது நண்பருக்கு உதவினார்.,அவன் தனது நண்பருக்கு உதவினான்.
இந்த வீடு மிக உயரமாக உள்ளது.,இந்த வீடு மிக உயரமாக இருக்கிறது.
இந்தக் கதை மிகவும் சுவாரஸ்யமாக இருந்தது.,இந்தக் கதை மிகவும் சுவாரஸ்யமாக உள்ளது.
நான் புத்தகத்தை படிக்கிறாள்.,நான் புத்தகத்தை படிக்கிறேன்.
அவன் பள்ளிக்கு சென்று விட்டாள்.,அவன் பள்ளிக்கு சென்று விட்டான்.
இது அவளுடைய நட்பு அல்ல.,இது அவளுடைய நட்பா?
குழந்தை பசிக்கிறார்.,குழந்தை பசிக்கிறது.
நீங்கள் வருவது அவசியம்.,நீங்கள் வருவது அவசியமா?
அவள் பூனைக்கு பால் கொடுத்தான்.,அவள் பூனைக்கு பால் கொடுத்தாள்.
அவர்கள் மிகவும் மகிழ்ச்சி ஆகிறான்.,அவர்கள் மிகவும் மகிழ்ச்சியாக இருக்கிறார்கள்.
இவர்கள் உங்கள் நண்பர்களா இல்லை?,இவர்கள் உங்கள் நண்பர்களா?
அந்த நாய் மிகவும் சுறுசுறுப்பாக இருக்கிறாள்.,அந்த நாய் மிகவும் சுறுசுறுப்பாக இருக்கிறது.
இது உங்கள் வேலை அல்ல.,இது உங்கள் வேலை இல்லை.
அவன் என்னை மன்னித்து விட்டாள்.,அவன் என்னை மன்னித்து விட்டான்.
இந்த மரங்கள் பழம் கொடுக்கிறது.,இந்த மரங்கள் பழம் கொடுக்கின்றன.
அவள் பாடம் பாடினாள் இல்லையா?,அவள் பாடம் பாடினாளா?
அது எப்போது முடிந்தது?,அது எப்போது முடிந்தது?
மாணவர்கள் கவனமாக எழுதினார்கள்.,மாணவர்கள் கவனமாக எழுதினார்கள்.
பசுக்கள் புல்லை உண்ணுகிறான்.,பசுக்கள் புல்லை உண்ணுகின்றன.
இது ஒரு பெரிய விலங்கா?,இது ஒரு பெரிய விலங்கா?
அந்த சிறுவன் தோட்டத்திலே விளையாடினாள்.,அந்த சிறுவன் தோட்டத்திலே விளையாடினான்.
இது மிகவும் பழைய செய்தி அல்ல.,இது மிகவும் பழைய செய்தியா?
நீங்கள் உணவை சமைத்தீர்களா?,நீங்கள் உணவைச் சமைத்தீர்களா?
அவன் வீடு அழகாக இருக்கிறது.,அவனுடைய வீடு அழகாக இருக்கிறது.
இது மிகச் சிறிய புத்தகம்.,இது மிகச் சிறிய புத்தகமா?
அவர் மிகவும் நல்ல எழுத்தாளி.,அவர் மிகவும் நல்ல எழுத்தாளர்.
அவள் தோட்டத்தில் வேலை செய்தான்.,அவள் தோட்டத்தில் வேலை செய்தாள்.
நான் அவனை சந்திக்க முடியுமா?,நான் அவனைச் சந்திக்க முடியுமா?
இந்த இடம் மிகவும் புளுமை நிறைந்தது.,இந்த இடம் மிகவும் பசுமை நிறைந்தது.
மாணவர்கள் மிகுந்த ஆர்வமாக இருக்கிறது.,மாணவர்கள் மிகுந்த ஆர்வமாக இருக்கின்றனர்.
இது அவன் பொருட்கள் இல்லை.,இது அவன் பொருட்கள் அல்ல.
இவன் என் நண்பர்கள்.,இவன் என் நண்பன்.
அவர்கள் எல்லோரும் வருகிறான்.,அவர்கள் எல்லோரும் வருகிறார்கள்.
இந்த பள்ளி மிக உயரமாக உள்ளது.,இந்த பள்ளி மிக உயரமாக இருக்கிறது.
நீங்கள் என்ன செய்தான்?,நீங்கள் என்ன செய்தீர்கள்?
அவள் மிகவும் அழகாக இருக்கிறது.,அவள் மிகவும் அழகாக இருக்கிறாள்.
அவன் வீட்டில் இல்லை?,அவன் வீட்டிலா இல்லை?
இது எங்கே இருந்து வந்தது?,இது எங்கு இருந்து வந்தது?
அந்த சிறுவன் கவனமாக பேசினாள்.,அந்த சிறுவன் கவனமாக பேசினான்.
நான் உணவை சாப்பிடவில்லை.,நான் உணவைச் சாப்பிடவில்லை.
இது ஒரு நல்ல முயற்சி அல்ல.,இது ஒரு நல்ல முயற்சியா?
அவன் நண்பனுடன் சென்றான் இல்லையா?,அவன் நண்பனுடன் சென்றானா?
இந்த புத்தகம் மிகவும் பழமையானது.,இந்த புத்தகம் மிகவும் பழமையானதா?
நீங்கள் இது குறித்து என்ன நினைக்கிறேன்?,நீங்கள் இது குறித்து என்ன நினைக்கிறீர்கள்?
அந்தப் பசுக்கள் புல்லை உண்ணினான்.,அந்தப் பசுக்கள் புல்லை உண்ணின.
இது மிகவும் நீளமான கதை.,இது மிகவும் நீளமான கதையா?
அவர்கள் எப்போது திரும்புவான்?,அவர்கள் எப்போது திரும்புவார்கள்?
அவளுக்கு வேலை செய்ய வேண்டும்.,அவளுக்கு வேலை செய்ய வேண்டும்.
இவர்கள் அனைவரும் பாடத்தில் சிறந்தது.,இவர்கள் அனைவரும் பாடத்தில் சிறந்தவர்கள்.
அவன் என்னிடம் பேசவில்லை.,அவன் என்னிடம் பேசவில்லை.
இது ஒரு சுலபமான வேலை.,இது ஒரு சுலபமான வேலையா?
நீங்கள் என்னைச் சந்திக்க விரும்பினீர்களா?,நீங்கள் என்னைச் சந்திக்க விரும்பினீர்களா?
அவள் எல்லோருக்கும் உதவுகிறார்.,அவள் எல்லோருக்கும் உதவுகின்றார்.
நீங்கள் எப்போது கிளம்பினீர்கள்?,நீங்கள் எப்போது கிளம்பினீர்கள்?
இந்த நதி மிகவும் நீளமானது.,இந்த நதி மிகவும் நீளமானதா?
இது எவருடைய நூல்?,இது எவருடைய நூலா?
அவள் பாடம் கேட்கவில்லை.,அவள் பாடத்தை கேட்கவில்லை.
இந்த மரம் பழங்கள் தருகிறது.,இந்த மரம் பழங்களைத் தருகிறது.
அவன் என் தோழியாக இருக்கிறாள்.,அவன் என் தோழனாக இருக்கிறான்.
நீங்கள் எப்போது வேலை முடித்தீர்கள்?,நீங்கள் எப்போது வேலை முடித்தீர்கள்?
அவர்கள் எல்லோருக்கும் உதவி செய்தாள்.,அவர்கள் எல்லோருக்கும் உதவி செய்தார்கள்.
இது மிகவும் சுலபமானது.,இது மிகவும் சுலபமானதா?
நான் இந்தக் கதையை விரும்புகிறேன்.,நான் இந்தக் கதையை விரும்புகிறேன்.
அவன் என்னை அழைத்தாள்.,அவன் என்னை அழைத்தான்.
இந்த செயல் மிகவும் நல்லது.,இந்த செயல் மிகவும் நல்லதா?
நீங்கள் எவ்வாறு இதைச் செய்ய முடிகிறது?,நீங்கள் எவ்வாறு இதைச் செய்ய முடிகிறது?
இவள் மிகவும் அறிவாளியாக இருக்கிறான்.,இவள் மிகவும் அறிவாளியாக இருக்கிறாள்.
இது உங்கள் நண்பன் இல்லை.,இது உங்கள் நண்பனா?
அவள் வீட்டிற்குச் சென்றுவிட்டான்.,அவள் வீட்டிற்குச் சென்றுவிட்டாள்.
இந்த நிகழ்ச்சி மிகவும் சுவாரஸ்யமானது.,இந்த நிகழ்ச்சி மிகவும் சுவாரஸ்யமாக இருந்தது.
அவர் இந்தக் கதையை எழுதினார்.,அவர் இந்தக் கதையை எழுதியார்.
இது மிகவும் நேர்மையானது.,இது மிகவும் நேர்மையானதா?
நான் அவளை உனக்கு சொல்லவில்லை.,நான் அவளை உனக்கு சொல்லவில்லை.
குழந்தைகள் வேகமாக ஓடினாள்.,குழந்தைகள் வேகமாக ஓடினார்கள்.
நான் கற்றுக்கொண்டேன்.,நான் கற்றுக்கொண்டிருக்கிறேன்.
அவன் விரைவாக சாப்பிடினான்.,அவன் மிக வேகமாக சாப்பிட்டான்.
இது எங்கே இருந்து வந்தது?,இது எங்கிருந்து வந்தது?
அந்த வாகனம் மிகவும் பழமையானit.,அந்த வாகனம் மிகவும் பழமையானது.
